GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab3-springboot,com.example.copilot.core.dto,CreateOrderRequestDTO.OrderItemRequest,0,17,0,0,0,5,0,5,0,5
lab3-springboot,com.example.copilot.core.dto,DashboardStatsDTO,23,21,0,0,8,8,5,4,5,4
lab3-springboot,com.example.copilot.core.dto,ReviewDTO,24,57,0,0,9,16,4,16,4,16
lab3-springboot,com.example.copilot.core.dto,CreateOrderRequestDTO,0,17,0,0,0,5,0,5,0,5
lab3-springboot,com.example.copilot.core.dto,CategoryDTO,12,19,0,0,6,7,3,6,3,6
lab3-springboot,com.example.copilot.core.dto,OrderItemDTO,31,0,0,0,13,0,9,0,9,0
lab3-springboot,com.example.copilot.core.dto,UserDTO,4,34,0,0,2,14,1,10,1,10
lab3-springboot,com.example.copilot.core.dto,OrderDTO,38,0,0,0,16,0,11,0,11,0
lab3-springboot,com.example.copilot.core.dto,ProductDTO,0,45,0,0,0,19,0,13,0,13
lab3-springboot,com.example.copilot.api.controller,UserController,47,3,2,0,6,1,8,1,7,1
lab3-springboot,com.example.copilot.api.controller,DashboardController,7,3,0,0,2,1,1,1,1,1
lab3-springboot,com.example.copilot.api.controller,ReviewController,51,3,0,0,12,1,5,1,5,1
lab3-springboot,com.example.copilot.api.controller,ProductController,5,50,0,2,0,7,1,8,1,7
lab3-springboot,com.example.copilot.api.controller,CategoryController,47,3,2,0,6,1,8,1,7,1
lab3-springboot,com.example.copilot.api.controller,OrderController,38,3,2,0,6,1,7,1,6,1
lab3-springboot,com.example.copilot.exception,InsufficientStockException,0,4,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.exception,UserNotPurchasedProductException,5,4,0,0,2,2,1,1,1,1
lab3-springboot,com.example.copilot.exception,GlobalExceptionHandler,235,38,4,0,42,7,8,2,6,2
lab3-springboot,com.example.copilot.exception,DuplicateReviewException,5,4,0,0,2,2,1,1,1,1
lab3-springboot,com.example.copilot,CopilotApplication,5,3,0,0,2,1,1,1,1,1
lab3-springboot,com.example.copilot.service.impl,ReviewServiceImpl,160,141,8,2,31,33,11,9,7,8
lab3-springboot,com.example.copilot.service.impl,ProductServiceImpl,39,158,3,7,6,34,4,10,1,8
lab3-springboot,com.example.copilot.service.impl,DashboardServiceImpl,0,33,0,0,0,6,0,2,0,2
lab3-springboot,com.example.copilot.service.impl,UserServiceImpl,137,3,8,0,29,1,11,1,7,1
lab3-springboot,com.example.copilot.service.impl,OrderServiceImpl,198,63,14,2,37,13,17,2,9,2
lab3-springboot,com.example.copilot.service.impl,CategoryServiceImpl,124,3,8,0,25,1,11,1,7,1
lab3-springboot,com.example.copilot.service.impl,OrderVerificationServiceImpl,13,3,0,0,2,1,2,1,2,1
lab3-springboot,com.example.copilot.core.entity,OrderItem,35,3,0,0,10,1,10,1,10,1
lab3-springboot,com.example.copilot.core.entity,Review,26,52,0,0,11,15,3,15,3,15
lab3-springboot,com.example.copilot.core.entity,Category,24,7,0,0,10,3,7,2,7,2
lab3-springboot,com.example.copilot.core.entity,User,16,29,0,0,5,8,5,8,5,8
lab3-springboot,com.example.copilot.core.entity,Product,17,57,0,0,7,25,5,14,5,14
lab3-springboot,com.example.copilot.core.entity,Order,23,15,0,0,7,4,7,4,7,4
lab3-springboot,com.example.copilot.core.enums,UserRole,0,15,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.core.enums,OrderStatus,0,27,0,0,0,2,0,1,0,1
lab3-springboot,com.example.copilot.config,OpenApiConfig,0,53,0,0,0,15,0,3,0,3
lab3-springboot,com.example.copilot.config,SecurityConfig,0,145,0,0,0,25,0,7,0,7
